serial=D2J2201
volcano=nevado_del_ruiz
site=alfombrales
#scandate	scanstarttime	scanstoptime	flux_[kg/s]	windspeed_[m/s]	winddirection_[deg]	windspeedsource	winddirectionsource	plumeheight_[m]	plumeheightsource	compassdirection_[deg]	compasssource	plumecentre_[deg]	plumeedge1_[deg]	plumeedge2_[deg]	plumecompleteness_[%]	coneangle	tilt	okflux	temperature	batteryvoltage	exposuretime
2012-06-30	16:26:27	16:29:49	1.79	10.000	0.000	user	user	1000.0	user	75.00	user	-70.3	-82.0	-25.0	0.60	60.0	0.0	1	25.8	13.8	61	
2012-06-30	16:36:35	16:40:01	1.04	10.000	0.000	user	user	1000.0	user	75.00	user	-47.0	-57.0	-39.0	0.87	60.0	0.0	1	26.3	13.8	66	
2012-06-30	11:47:42	11:53:47	2.61	10.000	0.000	user	user	1000.0	user	75.00	user	-50.1	-79.0	-28.0	0.90	60.0	0.0	1	11.1	12.8	267	
2012-06-30	16:45:49	16:50:53	4.39	10.000	0.000	user	user	1000.0	user	75.00	user	-52.5	-64.0	-39.0	0.94	60.0	0.0	1	26.7	13.8	187	
2012-06-30	18:12:31	18:28:01	9.55	10.000	0.000	user	user	1000.0	user	75.00	user	-73.8	-90.0	10.0	0.52	60.0	0.0	1	27.6	12.6	1000	
2012-06-30	18:53:28	19:00:44	13.32	10.000	0.000	user	user	1000.0	user	75.00	user	-53.9	-79.0	-32.0	0.89	60.0	0.0	1	24.9	13.1	364	
2012-06-30	11:39:21	11:46:32	1.25	10.000	0.000	user	user	1000.0	user	75.00	user	-999.0	-999.0	-999.0	-999.00	60.0	0.0	0	10.5	12.5	359	
2012-06-30	20:17:54	20:28:09	1.07	10.000	0.000	user	user	1000.0	user	75.00	user	-66.2	-75.0	-54.0	0.93	60.0	0.0	1	23.5	12.8	568	
2012-06-30	20:29:20	20:39:26	1.33	10.000	0.000	user	user	1000.0	user	75.00	user	-67.0	-79.0	-50.0	0.85	60.0	0.0	1	23.4	13.0	591	
2012-06-30	20:40:37	20:53:18	1.33	10.000	0.000	user	user	1000.0	user	75.00	user	-67.4	-82.0	-57.0	0.85	60.0	0.0	1	23.3	12.8	759	
2012-06-30	20:54:28	21:03:25	1.28	10.000	0.000	user	user	1000.0	user	75.00	user	-999.0	-999.0	-999.0	-999.00	60.0	0.0	0	23.6	12.8	488	
2012-06-30	21:15:52	21:26:43	1.78	10.000	0.000	user	user	1000.0	user	75.00	user	-999.0	-999.0	-999.0	-999.00	60.0	0.0	0	23.7	12.5	639	
2012-06-30	21:27:54	21:43:23	1.84	10.000	0.000	user	user	1000.0	user	75.00	user	-999.0	-999.0	-999.0	-999.00	60.0	0.0	0	23.5	12.5	1000	
2012-06-30	21:44:34	22:00:03	1.71	10.000	0.000	user	user	1000.0	user	75.00	user	-999.0	-999.0	-999.0	-999.00	60.0	0.0	0	23.1	12.4	1000	
